Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VKF4	CNAG_06705		Uncharacterized protein		CNAG_06705		J9VKF4_CRYNH					
J9VMD4	CNAG_07396		Uncharacterized protein		CNAG_07396		J9VMD4_CRYNH					
J9VKD1	CNAG_00022		Holocytochrome c-type synthase (EC 4.4.1.17)		CNAG_00022		J9VKD1_CRYNH		mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	GO:0004408; GO:0005743; GO:0046872
J9VL77	CNAG_00893		Uncharacterized protein		CNAG_00893		J9VL77_CRYNH					
J9VI22	CNAG_06764		Short-chain dehydrogenase		CNAG_06764		J9VI22_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VNE2	CNAG_03714		Microtubule motor protein		CNAG_03714		J9VNE2_CRYNH	microtubule-based movement [GO:0007018]	cytoskeleton [GO:0005856]	cytoskeleton [GO:0005856]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]	GO:0005524; GO:0005856; GO:0007018; GO:0008017; GO:1990939
J9VZ59	CNAG_04289		Uncharacterized protein		CNAG_04289		J9VZ59_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VT20	CNAG_03330		RecQ-mediated genome instability protein 1		CNAG_03330		J9VT20_CRYNH		RecQ family helicase-topoisomerase III complex [GO:0031422]	RecQ family helicase-topoisomerase III complex [GO:0031422]; nucleotide binding [GO:0000166]	nucleotide binding [GO:0000166]	GO:0000166; GO:0031422
T2BNJ6	CNAG_07555		Uncharacterized protein		CNAG_07555		T2BNJ6_CRYNH					
J9VTA4	CNAG_01480		Large subunit ribosomal protein L12		CNAG_01480		J9VTA4_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
J9VJA1	CNAG_05038		Uncharacterized protein		CNAG_05038		J9VJA1_CRYNH					
J9W0U8	CNAG_01478		Monooxygenase		CNAG_01478		J9W0U8_CRYNH			flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	GO:0004499; GO:0050660; GO:0050661
J9VL83	CNAG_00291		Rab-GAP TBC domain-containing protein		CNAG_00291		J9VL83_CRYNH					
J9VWQ1	CNAG_01636		Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)		CNAG_01636		J9VWQ1_CRYNH	protein folding [GO:0006457]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755; GO:0006457
J9VSA0	CNAG_02360		WW domain-containing protein		CNAG_02360		J9VSA0_CRYNH					
J9VEJ4	CNAG_00294		Splicing factor 45		CNAG_00294		J9VEJ4_CRYNH	regulation of RNA splicing [GO:0043484]		nucleic acid binding [GO:0003676]; regulation of RNA splicing [GO:0043484]	nucleic acid binding [GO:0003676]	GO:0003676; GO:0043484
J9VVR6	CNAG_04733		DNA repair protein RAD5		CNAG_04733		J9VVR6_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]	ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]	GO:0005524; GO:0005634; GO:0070615
T2BLS5	CNAG_07967		PHD-type domain-containing protein		CNAG_07967		T2BLS5_CRYNH	regulation of transcription, DNA-templated [GO:0006355]	RSF complex [GO:0031213]	RSF complex [GO:0031213]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]	metal ion binding [GO:0046872]	GO:0006355; GO:0031213; GO:0046872
J9VY65	CNAG_06131		Uncharacterized protein		CNAG_06131		J9VY65_CRYNH	RNA processing [GO:0006396]	nucleus [GO:0005634]	nucleus [GO:0005634]; RNA processing [GO:0006396]		GO:0005634; GO:0006396
T2BNS2	CNAG_01030		Uncharacterized protein		CNAG_01030		T2BNS2_CRYNH					
J9VLI1	CNAG_02492		Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)		CNAG_02492		J9VLI1_CRYNH	protein folding [GO:0006457]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755; GO:0006457
J9VR66	CNAG_03543		RING-type domain-containing protein		CNAG_03543		J9VR66_CRYNH			zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	GO:0008270
J9VWM5	CNAG_06420		Solute carrier family 25 (Mitochondrial citrate transporter), member 1		CNAG_06420		J9VWM5_CRYNH	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; transmembrane transport [GO:0055085]		GO:0005739; GO:0016021; GO:0055085
T2BQ91	CNAG_07485		Membrane protein, variant		CNAG_07485		T2BQ91_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VJL1	CNAG_07814		Replication termination factor 2		CNAG_07814		J9VJL1_CRYNH	mitotic DNA replication termination [GO:1902979]	nucleus [GO:0005634]	nucleus [GO:0005634]; mitotic DNA replication termination [GO:1902979]		GO:0005634; GO:1902979
J9W439	CNAG_05563		Histone deacetylase (EC 3.5.1.98)		CNAG_05563		J9W439_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]	metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]	GO:0005634; GO:0032041; GO:0046872
J9VJI2	CNAG_04081		Uncharacterized protein		CNAG_04081		J9VJI2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VSN5	CNAG_03164		Uncharacterized protein		CNAG_03164		J9VSN5_CRYNH					
J9VHK8	CNAG_00741		ATP-dependent RNA helicase SUB2		CNAG_00741		J9VHK8_CRYNH			ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524; GO:0016787
J9VL96	CNAG_00872		ATP-dependent DNA helicase (EC 3.6.4.12)		CNAG_00872		J9VL96_CRYNH	DNA recombination [GO:0006310]	nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0003678; GO:0005524; GO:0005634; GO:0006310; GO:0016787
T2BN02	CNAG_03192		tRNA-specific adenosine deaminase 1, variant		CNAG_03192		T2BN02_CRYNH	RNA processing [GO:0006396]		adenosine deaminase activity [GO:0004000]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	adenosine deaminase activity [GO:0004000]; RNA binding [GO:0003723]	GO:0003723; GO:0004000; GO:0006396
J9VQF0	CNAG_03242		Solute carrier family 25 (Peroxisomal adenine nucleotide transporter), member 17		CNAG_03242		J9VQF0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VWE6	CNAG_05375		BHLH domain-containing protein		CNAG_05375		J9VWE6_CRYNH			protein dimerization activity [GO:0046983]	protein dimerization activity [GO:0046983]	GO:0046983
J9W1U2	CNAG_01874		Glutathione S-transferase		CNAG_01874		J9W1U2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016021; GO:0016740
J9VQF2	CNAG_02787		Dephospho-CoA kinase		CNAG_02787		J9VQF2_CRYNH	coenzyme A biosynthetic process [GO:0015937]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]; coenzyme A biosynthetic process [GO:0015937]	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]	GO:0004140; GO:0005524; GO:0015937; GO:0016021
J9VZ73	CNAG_05332		MFS transporter, SP family, general alpha glucoside:H symporter		CNAG_05332		J9VZ73_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VNP1	CNAG_01110		Tubulin-specific chaperone A		CNAG_01110		J9VNP1_CRYNH	post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; beta-tubulin binding [GO:0048487]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	beta-tubulin binding [GO:0048487]	GO:0005737; GO:0005874; GO:0007021; GO:0007023; GO:0048487
J9VUF9	CNAG_01896		Alcohol dehydrogenase (NADP )		CNAG_01896		J9VUF9_CRYNH			D-threo-aldose 1-dehydrogenase activity [GO:0047834]	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834
J9VU75	CNAG_02553		Short-chain dehydrogenase		CNAG_02553		J9VU75_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VVU6	CNAG_06545		Pim1 protein RNA transporter 2		CNAG_06545		J9VVU6_CRYNH					
J9VVP7	CNAG_02034		CBFD_NFYB_HMF domain-containing protein		CNAG_02034		J9VVP7_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; transcription coregulator activity [GO:0003712]	protein heterodimerization activity [GO:0046982]; transcription coregulator activity [GO:0003712]	GO:0003712; GO:0005634; GO:0046982
J9VUW6	CNAG_01853		Splicing factor subunit		CNAG_01853		J9VUW6_CRYNH	mRNA splicing, via spliceosome [GO:0000398]		mRNA splicing, via spliceosome [GO:0000398]		GO:0000398
T2BNE5	CNAG_01490		Uncharacterized protein		CNAG_01490		T2BNE5_CRYNH					
J9VL57	CNAG_06924		Beta-fructofuranosidase		CNAG_06924		J9VL57_CRYNH	carbohydrate metabolic process [GO:0005975]		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0005975
J9VUP5	CNAG_02424		Uncharacterized protein		CNAG_02424		J9VUP5_CRYNH					
J9VKD9	CNAG_07465		DNA-directed RNA polymerase III subunit RPC9		CNAG_07465		J9VKD9_CRYNH	transcription initiation from RNA polymerase III promoter [GO:0006384]	RNA polymerase III complex [GO:0005666]	RNA polymerase III complex [GO:0005666]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; transcription initiation from RNA polymerase III promoter [GO:0006384]	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]	GO:0000166; GO:0003899; GO:0005666; GO:0006384
J9VXH9	CNAG_03159		Cytoplasmic protein		CNAG_03159		J9VXH9_CRYNH					
J9VRC3	CNAG_00978		NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex 9		CNAG_00978		J9VRC3_CRYNH					
J9VUK8	COQ4 CNAG_01962		Ubiquinone biosynthesis protein COQ4, mitochondrial (Coenzyme Q biosynthesis protein 4)	COQ4	CNAG_01962		J9VUK8_CRYNH	ubiquinone biosynthetic process [GO:0006744]	extrinsic component of mitochondrial inner membrane [GO:0031314]	extrinsic component of mitochondrial inner membrane [GO:0031314]; ubiquinone biosynthetic process [GO:0006744]		GO:0006744; GO:0031314
J9W038	CNAG_06099		Uncharacterized protein		CNAG_06099		J9W038_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VTF7	CNAG_01150		Omega-6 fatty acid desaturase (Delta-12 desaturase)		CNAG_01150		J9VTF7_CRYNH	lipid metabolic process [GO:0006629]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]		GO:0006629; GO:0016021
J9W1R8	CNAG_05504		GDSL Lipase/Acylhydrolase		CNAG_05504		J9W1R8_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9VD36	CNAG_00054		Uncharacterized protein		CNAG_00054		J9VD36_CRYNH					
J9VSS6	CNAG_02146		FAS1 domain-containing protein		CNAG_02146		J9VSS6_CRYNH					
J9VP61	CNAG_03965		Ribosome recycling factor		CNAG_03965		J9VP61_CRYNH	translation [GO:0006412]		translation [GO:0006412]		GO:0006412
J9VE89	CNAG_07327		FAD-binding FR-type domain-containing protein		CNAG_07327		J9VE89_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9W0V4	CNAG_06356		Mitochondrial protein		CNAG_06356		J9W0V4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ubiquitin-like modifier activating enzyme activity [GO:0008641]	ubiquitin-like modifier activating enzyme activity [GO:0008641]	GO:0008641; GO:0016021
J9VSM4	CNAG_04784		Monosaccharide transporter		CNAG_04784		J9VSM4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VTK6	CNAG_01582		Uncharacterized protein		CNAG_01582		J9VTK6_CRYNH					
J9VTE2	CNAG_03461		Uncharacterized protein		CNAG_03461		J9VTE2_CRYNH					
J9VUP8	CNAG_04410		Endoplasmic reticulum protein		CNAG_04410		J9VUP8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016021; GO:0016787
J9VV02	CNAG_06078		Uncharacterized protein		CNAG_06078		J9VV02_CRYNH					
J9VL09	CNAG_02567		Uncharacterized protein		CNAG_02567		J9VL09_CRYNH					
J9VHS3	CNAG_02717		Aryl-alcohol dehydrogenase		CNAG_02717		J9VHS3_CRYNH			D-threo-aldose 1-dehydrogenase activity [GO:0047834]	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834
J9W2K7	CNAG_06144		Translationally-controlled tumor protein homolog		CNAG_06144		J9W2K7_CRYNH					
J9VMP9	CNAG_02062		Glycoside hydrolase family 2		CNAG_02062		J9VMP9_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9W1V7	CNAG_01889		Glutathione S-transferase		CNAG_01889		J9W1V7_CRYNH	glutathione metabolic process [GO:0006749]		glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]	glutathione transferase activity [GO:0004364]	GO:0004364; GO:0006749
J9VZ13	CNAG_01675		Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)		CNAG_01675		J9VZ13_CRYNH	glycolytic process [GO:0006096]		fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096]	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]	GO:0004332; GO:0006096; GO:0008270
J9VGE8	CNAG_03952		Uncharacterized protein		CNAG_03952		J9VGE8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VXI2	CNAG_04877		Uncharacterized protein		CNAG_04877		J9VXI2_CRYNH					
J9VVJ9	CNAG_04810		Uncharacterized protein		CNAG_04810		J9VVJ9_CRYNH					
J9VQF1	CNAG_03482		Peroxiredoxin (Alkyl hydroperoxide reductase subunit C)		CNAG_03482		J9VQF1_CRYNH			peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]	GO:0004601; GO:0051920
J9VL12	CNAG_00980		Uncharacterized protein		CNAG_00980		J9VL12_CRYNH					
T2BM17	CNAG_05061		Uncharacterized protein		CNAG_05061		T2BM17_CRYNH					
J9VM17	CNAG_07370		BZIP domain-containing protein		CNAG_07370		J9VM17_CRYNH			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
J9VWF0	CNAG_01541		Uncharacterized protein		CNAG_01541		J9VWF0_CRYNH					
J9VRQ3	CNAG_02529		N-terminal Ras-GEF domain-containing protein		CNAG_02529		J9VRQ3_CRYNH	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; guanyl-nucleotide exchange factor activity [GO:0005085]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]	guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085; GO:0005739; GO:0033615
J9VDQ3	CNAG_00254		NADH dehydrogenase		CNAG_00254		J9VDQ3_CRYNH					
J9VYJ2	CNAG_01514		Uncharacterized protein		CNAG_01514		J9VYJ2_CRYNH					
J9VY99	CNAG_03480		Uncharacterized protein		CNAG_03480		J9VY99_CRYNH	protein glycosylation [GO:0006486]		transferase activity, transferring glycosyl groups [GO:0016757]; protein glycosylation [GO:0006486]	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0006486; GO:0016757
J9VI48	CNAG_02580		Fe2OG dioxygenase domain-containing protein		CNAG_02580		J9VI48_CRYNH			dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418; GO:0051213
T2BNF1	CNAG_05078		tRNA '-O-ribosylphosphate transferase, variant 3		CNAG_05078		T2BNF1_CRYNH	charged-tRNA amino acid modification [GO:0019988]		tRNA A64-2'-O-ribosylphosphate transferase activity [GO:0043399]; charged-tRNA amino acid modification [GO:0019988]	tRNA A64-2'-O-ribosylphosphate transferase activity [GO:0043399]	GO:0019988; GO:0043399
J9W3H8	CNAG_07043		Uncharacterized protein		CNAG_07043		J9W3H8_CRYNH					
T2BNZ3	CNAG_08027		Uncharacterized protein		CNAG_08027		T2BNZ3_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491
J9VRL9	CNAG_05728		Uncharacterized protein		CNAG_05728		J9VRL9_CRYNH					
J9VEV2	CNAG_00466		Adaptin ear-binding coat-associated protein 2		CNAG_00466		J9VEV2_CRYNH	endocytosis [GO:0006897]	membrane [GO:0016020]	membrane [GO:0016020]; endocytosis [GO:0006897]		GO:0006897; GO:0016020
J9VVK1	CNAG_06253		Sugar transporter		CNAG_06253		J9VVK1_CRYNH	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	transmembrane transporter activity [GO:0022857]	GO:0008643; GO:0016021; GO:0022857
T2BP09	CNAG_06524		FAD-binding FR-type domain-containing protein		CNAG_06524		T2BP09_CRYNH	ion transport [GO:0006811]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]; ion transport [GO:0006811]	oxidoreductase activity [GO:0016491]	GO:0006811; GO:0016021; GO:0016491
J9VLZ5	CNAG_02337		Uracil phosphoribosyltransferase		CNAG_02337		J9VLZ5_CRYNH	nucleoside metabolic process [GO:0009116]		transferase activity, transferring glycosyl groups [GO:0016757]; nucleoside metabolic process [GO:0009116]	transferase activity, transferring glycosyl groups [GO:0016757]	GO:0009116; GO:0016757
J9W0S8	CNAG_06326		Solute carrier family 40 protein		CNAG_06326		J9W0S8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; iron ion transmembrane transporter activity [GO:0005381]	iron ion transmembrane transporter activity [GO:0005381]	GO:0005381; GO:0016021
T2BP91	CNAG_07992		Uncharacterized protein		CNAG_07992		T2BP91_CRYNH					
J9VQG5	CNAG_03497		Trafficking protein particle complex subunit BET3		CNAG_03497		J9VQG5_CRYNH	Golgi vesicle transport [GO:0048193]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]; Golgi vesicle transport [GO:0048193]		GO:0005783; GO:0005794; GO:0030008; GO:0048193
J9VH15	CNAG_00534		Uncharacterized protein		CNAG_00534		J9VH15_CRYNH		membrane [GO:0016020]; mitochondrion [GO:0005739]	membrane [GO:0016020]; mitochondrion [GO:0005739]		GO:0005739; GO:0016020
J9VTV0	CNAG_00997		Uncharacterized protein		CNAG_00997		J9VTV0_CRYNH					
J9VXN1	CNAG_03220		Uncharacterized protein		CNAG_03220		J9VXN1_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VP77	CNAG_05971		Uncharacterized protein		CNAG_05971		J9VP77_CRYNH					
J9VL07	CNAG_01238		Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]		CNAG_01238		J9VL07_CRYNH	arginine biosynthetic process [GO:0006526]	mitochondrial matrix [GO:0005759]	mitochondrial matrix [GO:0005759]; acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]; arginine biosynthetic process [GO:0006526]	acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]	GO:0004042; GO:0004358; GO:0005759; GO:0006526; GO:0103045
J9VU79	CNAG_07594		Uncharacterized protein		CNAG_07594		J9VU79_CRYNH					
J9VKF6	CNAG_01201		CBFD_NFYB_HMF domain-containing protein		CNAG_01201		J9VKF6_CRYNH	negative regulation of transcription by RNA polymerase II [GO:0000122]	negative cofactor 2 complex [GO:0017054]	negative cofactor 2 complex [GO:0017054]; general transcription initiation factor activity [GO:0140223]; protein heterodimerization activity [GO:0046982]; negative regulation of transcription by RNA polymerase II [GO:0000122]	general transcription initiation factor activity [GO:0140223]; protein heterodimerization activity [GO:0046982]	GO:0000122; GO:0017054; GO:0046982; GO:0140223
J9VJ69	CNAG_03946		Galactokinase (EC 2.7.1.6) (Galactose kinase)		CNAG_03946		J9VJ69_CRYNH	galactose metabolic process [GO:0006012]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose metabolic process [GO:0006012]	ATP binding [GO:0005524]; galactokinase activity [GO:0004335]	GO:0004335; GO:0005524; GO:0005737; GO:0006012
J9VXI4	CNAG_05532		Arylformamidase		CNAG_05532		J9VXI4_CRYNH	biosynthetic process [GO:0009058]		catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]	catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]	GO:0003824; GO:0009058; GO:0030170
J9VIZ3	CNAG_06935		Isochorismatase hydrolase		CNAG_06935		J9VIZ3_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9W1K5	CNAG_01758		Polygalacturonase		CNAG_01758		J9W1K5_CRYNH	carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]		polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]	polygalacturonase activity [GO:0004650]	GO:0004650; GO:0005975; GO:0071555
J9VF50	CNAG_00816		Autophagy-related protein		CNAG_00816		J9VF50_CRYNH	autophagy [GO:0006914]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]; autophagy [GO:0006914]		GO:0000421; GO:0006914; GO:0031410
J9VS54	CNAG_05927		ATP synthase mitochondrial F1 complex assembly factor 1		CNAG_05927		J9VS54_CRYNH	protein-containing complex assembly [GO:0065003]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; protein-containing complex assembly [GO:0065003]		GO:0005739; GO:0065003
J9VV54	CNAG_03233		Protein yippee-like		CNAG_03233		J9VV54_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
J9VWK1	CNAG_06394		Uncharacterized protein		CNAG_06394		J9VWK1_CRYNH					
J9W0Z8	CNAG_01535		Amino acid permease		CNAG_01535		J9W0Z8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VY15	CNAG_03380		Uncharacterized protein		CNAG_03380		J9VY15_CRYNH		EMC complex [GO:0072546]	EMC complex [GO:0072546]		GO:0072546
T2BQ39	CNAG_07881		Uncharacterized protein		CNAG_07881		T2BQ39_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VM79	CNAG_02988		Acetyltransferase		CNAG_02988		J9VM79_CRYNH			N-acetyltransferase activity [GO:0008080]	N-acetyltransferase activity [GO:0008080]	GO:0008080
J9VM12	CNAG_00605		Cytoplasmic protein		CNAG_00605		J9VM12_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9W2X6	CNAG_07919		Uncharacterized protein		CNAG_07919		J9W2X6_CRYNH					
J9VKA2	CNAG_06806		Probable electron transfer flavoprotein subunit alpha		CNAG_06806		J9VKA2_CRYNH		mitochondrial matrix [GO:0005759]	mitochondrial matrix [GO:0005759]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]	GO:0005759; GO:0009055; GO:0050660
T2BNH9	CNAG_08006		Uncharacterized protein		CNAG_08006		T2BNH9_CRYNH					
